                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8318,                0.82418,                0.99624,                 2.4728,             0.00023767,             0.00023767,             0.00023767
                      2,                0.63258,                0.92974,                0.99967,                 2.3233,             0.00042858,             0.00042858,             0.00042858
                      3,                0.46479,                0.95458,                0.99984,                 2.2792,             0.00057236,             0.00057236,             0.00057236
                      4,                0.37441,                0.97402,                      1,                 2.2592,             0.00050194,             0.00050194,             0.00050194
                      5,                0.31058,                 0.9719,                      1,                  2.251,             0.00050194,             0.00050194,             0.00050194
                      6,                0.24128,                0.97059,                      1,                 2.2521,             0.00043126,             0.00043126,             0.00043126
                      7,                0.21014,                 0.9799,                      1,                 2.2407,             0.00036057,             0.00036057,             0.00036057
                      8,                0.18259,                 0.9884,                      1,                 2.2287,             0.00028988,             0.00028988,             0.00028988
                      9,                0.16662,                0.99003,                      1,                 2.2265,              0.0002192,              0.0002192,              0.0002192
                     10,                0.15021,                0.99069,                      1,                 2.2246,             0.00014851,             0.00014851,             0.00014851
